NWS Creditted  - MS Fiscal Month Alt Name,Current Delivery - Sales SubLocation Name,NWS Creditted - MSTPID Account Name,Primary Product,Business Scenario,Sum of NWS MS Amt CUS,,,,,,,,,,,,,,,,,,,,
FY2013-P02,East,P P G INDUSTRIES INC,Azure_Applications,Web Application Development,106800,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Edu,MONTGOMERY COUNTY PUBLIC SCHOOLS,SharePoint 2010_Applications,Custom Development,108426,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Edu,MONTGOMERY COUNTY PUBLIC SCHOOLS,Visual Studio,Custom Development,61340,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Edu,TACOMA SCHOOL DISTRICT,SharePoint 2010_Applications,Custom Development,151530,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Edu,UNIVERSITY OF PHOENIX,SharePoint 2010_Applications,BizAnalyticsSolutionDevelopmnt,5000,,,,,,,,,,,,,,,,,,,,
FY2013-P02,Edu,UNIVERSITY OF PITTSBURGH,SharePoint 2010_Applications,Custom Development,242320,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,MARYLAND PROCUREMENT OFFICE,SharePoint 2010_Applications,Enterprise Strategy ITAP,1448765,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,MARYLAND PROCUREMENT OFFICE,Visual Studio,Custom Development,1918138.25,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,NATIONAL SECURITY AGENCY,Visual Studio,Custom Development,-1407637.25,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,OFFICE OF NAVAL INTELLIGENCE,SharePoint 2010_Applications,Custom Development,-5,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,U S DEPARTMENT OF ENERGY,SharePoint 2010_Applications,BizAnalyticsSolutionDevelopmnt,528619,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,U S DEPARTMENT OF ENERGY,SQL Server 2008,BizAnalyticsSolutionDevelopmnt,45584,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,U S DEPARTMENT OF ENERGY,SQL Server 2012,Custom Development,81000,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,U S DEPARTMENT OF ENERGY,Visual Studio,Custom Development,95540,,,,,,,,,,,,,,,,,,,,
FY2013-P02,NSG,US PROCUREMENT AUTHORITY,SQL Server 2008 R2,Custom Development,940029.75,,,,,,,,,,,,,,,,,,,,
FY2013-P02,SLG,AK-SLG OTHER STATE AGENCIES,SharePoint 2010_Applications,BizAnalyticsSolutionDevelopmnt,76300,,,,,,,,,,,,,,,,,,,,
FY2013-P02,SLG,FL-COUNTY OF BROWARD,SharePoint 2010_Applications,Custom Development,229215,,,,,,,,,,,,,,,,,,,,
FY2013-P02,SLG,NV-COUNTY OF WASHOE,SharePoint 2010_Applications,Custom Development,138007,,,,,,,,,,,,,,,,,,,,
FY2013-P02,SLG,OH-STATE DEPTS AND AGENCIES,Azure_Applications,Web Application Development,49836,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,AMERICAN EXPRESS COMPANY,Azure_Applications,Web Application Development,233465,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,AMERICAN EXPRESS COMPANY,SharePoint 2013_Applications,Custom Development,91650,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,AMGEN INC,SQL Server 2008,BizAnalyticsSolutionDevelopmnt,51200,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,AMGEN INC,SQL Server 2008,Custom Development,227205,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,AMGEN INC,SQL Server 2008 R2,Custom Development,327442.5,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,FIRST AMERICAN FINANCIAL CORP,SharePoint 2010_Applications,Custom Development,236496,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,FIRST AMERICAN FINANCIAL CORP,SQL Server 2012,Legacy Solution Migration,197968,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,MC KESSON CORPORATION,Visual Studio,Custom Development,250500,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,PREMERA BLUE CROSS,BizTalk,Custom Development,644616,,,,,,,,,,,,,,,,,,,,
FY2013-P02,West,QUESTAR PIPELINE COMPANY,Visual Studio,Enterprise Strategy ITAP,27000,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,ALLSTATE INSURANCE GROUP,Visual Studio,Enterprise Strategy ITAP,101040,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,"CB RICHARD ELLIS, INC.",Azure_Applications,Web Application Development,-97590,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,"CB RICHARD ELLIS, INC.",BizTalk,Enterprise Strategy ITAP,44244,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,CHESAPEAKE OPERATING INC,BizTalk,Custom Development,108870,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,CHEVRON CORPORATION,SharePoint 2010_Applications,Enterprise Strategy ITAP,253060,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,HALLIBURTON COMPANY,Visual Studio,Custom Development,314218.2,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,JOHNSON CONTROLS INCORPORATED,SharePoint 2013_Applications,Enterprise Strategy ITAP,52688,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,LINDNER ASSET MANAGEMENT INC,SQL Server 2012,Custom Development,88450,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,MC DONALDS CORPORATION,SharePoint 2010_Applications,Custom Development,1030000,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,PROCTER & GAMBLE COMPANY,SQL Server 2012,Custom Development,148680,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,STIFEL NICHOLAS & CO INC,SharePoint 2010_Applications,Custom Development,91110,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,TEXTRON INC,SharePoint 2010_Applications,Enterprise Strategy ITAP,59400,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Central,WHOLE FOODS MARKET,SharePoint 2010_Applications,Custom Development,117222,,,,,,,,,,,,,,,,,,,,
FY2013-P03,Civilian,ENVIRONMENTAL PROTECTION AGENCY,SharePoint 2010_Applications,Custom Development,137250,,,,,,,,,,,,,,,,,,,,
